DATE,Inner_Mission_94110,Castro_94114,Parkside_94116,Hunters_Point_94124,Diamond_Heights_94131
2008-03,710700,1040300,814200,473400,806000
2008-04,752100,1086700,783500,487500,818000
2008-05,731700,1062800,761400,487900,867300
2008-06,748700,1053600,755400,461500,878900
2008-07,732900,1017600,787200,439600,821400
2008-08,804000,1004500,804900,442800,828200
2008-09,799100,1051500,795000,467500,832900
2008-10,767800,1026300,783300,473200,830500
2008-11,690500,974500,794600,444500,866700
2008-12,714300,878000,778800,400000,853100
2009-01,689000,898300,756800,381300,820700
2009-02,674800,939100,749700,380000,749800
2009-03,621100,887500,747700,381100,744700
2009-04,652100,832600,728000,375100,791900
2009-05,647400,793200,700700,379500,782000
2009-06,656000,861900,712900,368000,788200
2009-07,679900,924200,721400,363600,789100
2009-08,726300,937200,710400,358100,823000
2009-09,757300,922300,673900,379500,849200
2009-10,744700,919200,689600,381800,847800
2009-11,769400,910800,732300,395900,859500
2009-12,775000,917900,782600,380300,832100
2010-01,679700,904200,780300,396800,825900
2010-02,627900,937800,744900,384600,783800
2010-03,602900,1008100,727000,385400,776500
2010-04,700800,983900,732000,389300,778700
2010-05,714400,935900,733100,390000,814400
2010-06,680000,859000,726800,391900,854600
2010-07,692800,926400,697600,379200,870000
2010-08,709800,905300,684500,382100,845600
2010-09,748200,964600,681800,386500,824700
2010-10,716700,1006900,685500,364700,775700
2010-11,745000,1100800,708300,366600,805900
2010-12,750100,1176300,696200,348300,796300
2011-01,715100,1128200,677300,342400,806700
2011-02,674300,1078600,680400,321100,714900
2011-03,686700,1035300,677800,324900,680600
2011-04,757600,993500,673600,347000,667500
2011-05,765900,1000900,646400,337900,725500
2011-06,735700,918300,642500,323200,751400
2011-07,715600,942800,674200,307200,718200
2011-08,698100,964300,706800,313600,721700
2011-09,703200,972800,698300,316700,787800
2011-10,699700,999700,693100,311200,804800
2011-11,698600,987900,659800,326200,839100
2011-12,727900,1041200,661000,316500,802900
2012-01,677300,1006900,688700,319200,862600
2012-02,685700,1110000,682000,301400,816100
2012-03,663700,1139300,716900,330900,808300
2012-04,733800,1181600,687900,350400,825400
2012-05,717100,1152500,703800,362900,842400
2012-06,723900,1086500,705800,351800,815400
2012-07,744800,1056500,704300,348500,839300
2012-08,805600,937000,699600,349800,890800
2012-09,862500,1035800,710000,368900,943300
2012-10,852700,1110000,726800,368800,929600
2012-11,855100,1155300,771600,382400,960000
2012-12,824100,1045500,775800,386500,960500
2013-01,821700,903400,785500,420300,938300
2013-02,782100,1000000,800800,438800,867200
2013-03,784600,1087200,795600,463200,838200
2013-04,809800,1204200,806100,474800,910500
2013-05,879300,1176800,772700,473700,930000
2013-06,913800,1208800,777000,463700,969400
2013-07,934800,1209400,776200,449900,926500
2013-08,934600,1286900,807400,452700,959300
2013-09,959900,1240100,818100,467600,1024300
2013-10,962800,1313200,829500,488800,1020600
2013-11,1011400,1302600,843400,511800,1001300
2013-12,1006600,1398900,860900,516600,1011400
2014-01,1030000,1357400,860500,520200,1028300
2014-02,1011400,1329800,853900,507300,1062900
2014-03,1008800,1285200,880000,516800,1090900
2014-04,998500,1294100,913500,526800,1140000
2014-05,1005800,1461200,929300,535600,1194800
2014-06,1056300,1451500,1032900,558600,1194100
2014-07,1071800,1509800,1019800,569900,1190000
2014-08,1088300,1380800,1024600,614700,1219400
2014-09,1045300,1430000,924000,607100,1164800
2014-10,1064300,1490000,934400,617000,1185700
2014-11,1095500,1561800,987300,606300,1219800
2014-12,1166800,1467300,984400,630300,1255700
2015-01,1209300,1418200,1010000,638100,1232200
2015-02,1248200,1351300,987100,655700,1196900
2015-03,1288300,1488300,1031500,642100,1220000
2015-04,1315500,1590000,1055400,641200,1261200
2015-05,1228800,1591100,1109400,642100,1302200
2015-06,1160000,1641600,1125300,662100,1276300
2015-07,1157200,1645100,1163300,667500,1343800
2015-08,1239400,1732700,1138300,692500,1270900
2015-09,1257800,1780200,1138600,701100,1354200
2015-10,1244800,1706800,1100500,709400,1370400
2015-11,1234200,1682500,1084200,692100,1423700
2015-12,1277800,1563800,1144800,645100,1378500
2016-01,1276600,1565900,1216800,632000,1420100
2016-02,1280600,1475900,1263100,656600,1420200
2016-03,1274700,1467600,1209900,696000,1429700
2016-04,1311100,1480000,1153500,693700,1330000
2016-05,1296500,1549600,1161800,687100,1369200
2016-06,1283500,1553100,1169400,705800,1420000
2016-07,1257100,1528200,1203900,734200,1423100
2016-08,1339500,1461400,1206700,682400,1463300
2016-09,1372100,1512800,1198300,660300,1425200
2016-10,1409400,1510700,1223600,644100,1449100
2016-11,1330400,1539900,1213400,693400,1407200
2016-12,1309600,1521100,1234900,696400,1394300
2017-01,1274500,1589100,1201200,713300,1297500
2017-02,1205200,1775600,1208400,715700,1335700
2017-03,1235500,1839800,1184900,753200,1338600
2017-04,1223200,1820300,1193300,807900,1401300
2017-05,1336600,1752900,1193600,833000,1336400
2017-06,1348700,1697500,1235900,806600,1312800
2017-07,1402900,1688300,1245500,770600,1340000
2017-08,1370000,1640000,1265700,741800,1394900
2017-09,1388700,1617700,1301600,778800,1465500
2017-10,1406500,1589300,1343700,777800,1512400
2017-11,1443800,1566900,1354600,789500,1610900
2017-12,1444100,1616700,1351800,785800,1560100
2018-01,1480000,1690000,1371200,791300,1729800
2018-02,1482900,1779400,1375200,798500,1914300
2018-03,1518600,1830000,1354100,842900,1970700
2018-04,1518400,1778900,1356600,874400,1829100
2018-05,1520200,1715400,1407800,936200,1555600
2018-06,1480000,1648500,1441200,927200,1637600
