Zip Code,City,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
90250,Hawthorne,482500,444700,395900,3.81E+05,422200,406800,399400,380100,392700,398300,364200,338300,321100,318500,3.13E+05,314800,314400,318900,316500,315700,315800,3.37E+05,329500,330400,322400,342200,370100,355100,349100,3.28E+05,3.31E+05,337600,326700,333400,323400,348200,336700,359900,332100,317700,295600,292900,311700,314600,331500,327900,308500,278600,282300,300900,318400,308300,319600,314600,330200,325600,3.67E+05,364300,362300,348600,367300,368400,366500,382300,395200,417100,414300,405700,407600,403400,440700,437100,434600,4.27E+05,441300,451800,459400,475200,486600,489900,461900,482300,456300,471800,479500,507600,516800,495100,489700,472200,4.76E+05,484500,508300,516500,508200,508100,503700,519300,510700,528100,529900,5.47E+05,541600,5.57E+05,5.68E+05,574100,588300,5.82E+05,585600,580100,596800,589800,618600,597900,6.05E+05,572300,577600,570100,568300,588300,609800,633300,643500,651300
94501,Alameda,602100,599400,594600,576700,5.60E+05,588100,589900,5.86E+05,587600,610900,579900,547500,524400,537500,521300,499900,512200,542700,540100,527500,504500,543100,552300,555800,548900,557300,543600,527100,502600,541700,561300,578900,554200,5.49E+05,588700,551500,526300,472800,500400,485700,479600,465900,458300,441900,435800,437800,4.32E+05,404300,420100,459700,471700,469400,459600,510700,512700,530600,527600,548100,555600,5.55E+05,513500,513900,527300,5.91E+05,608800,609900,606600,6.05E+05,625200,631700,639700,6.46E+05,659400,664300,669100,689600,666800,684700,6.95E+05,740200,7.22E+05,702100,696600,710700,727100,744700,752300,7.50E+05,7.47E+05,753800,747700,749900,753800,790500,8.12E+05,848600,844200,835100,7.91E+05,7.81E+05,768800,771600,7.91E+05,814900,828100,833900,828300,837600,832700,8.55E+05,851100,857300,860300,866100,926200,922600,920600,865300,875300,869800,885700,899200,916700,923200
94110,San Francisco,710700,752100,731700,748700,732900,8.04E+05,799100,767800,690500,714300,6.89E+05,674800,621100,652100,647400,6.56E+05,679900,726300,757300,744700,769400,7.75E+05,679700,627900,602900,700800,714400,6.80E+05,692800,709800,748200,716700,7.45E+05,750100,715100,674300,686700,757600,765900,735700,715600,698100,703200,699700,698600,727900,677300,685700,663700,733800,717100,723900,744800,805600,862500,852700,855100,824100,821700,782100,784600,809800,879300,913800,934800,934600,959900,962800,1011400,1006600,1.03E+06,1011400,1008800,998500,1005800,1056300,1071800,1088300,1045300,1064300,1095500,1166800,1209300,1248200,1288300,1315500,1228800,1.16E+06,1157200,1239400,1257800,1244800,1234200,1277800,1276600,1280600,1274700,1311100,1296500,1283500,1257100,1339500,1372100,1409400,1330400,1309600,1274500,1205200,1235500,1223200,1336600,1348700,1402900,1.37E+06,1388700,1406500,1443800,1444100,1.48E+06,1482900,1518600,1518400,1520200,1.48E+06
95630,Folsom,415700,413300,424400,412300,405600,4.05E+05,4.18E+05,409800,394900,3.78E+05,375500,383700,379200,372800,352900,350800,3.53E+05,343300,350500,345200,370300,360600,356700,335200,349900,352100,356600,334800,329900,321400,319600,320700,331600,331700,3.31E+05,313500,308400,296100,2.89E+05,284400,282200,2.83E+05,287100,290600,301500,296800,297300,293100,301600,311600,308400,316900,328700,343700,3.42E+05,339500,352300,365700,364900,349700,351300,359300,3.73E+05,373200,382900,392200,398500,399700,397200,398700,405900,407300,399200,384400,387800,398900,407700,411200,411700,4.10E+05,4.02E+05,396800,402700,4.16E+05,426400,430700,424500,422700,422300,428100,4.26E+05,425600,4.30E+05,436700,441700,433900,438500,440500,456700,457500,451400,444300,440900,453200,464900,473700,474600,475500,472800,475600,4.78E+05,484600,484400,482300,491800,494900,500400,500200,503400,505600,519100,531500,539600,529400
90650,Norwalk,378300,347500,339800,322800,319500,309300,3.08E+05,303800,293800,289100,279400,276400,269400,260600,256100,255200,260400,258900,2.62E+05,264400,269800,270100,267800,267500,268400,272100,277500,282400,2.86E+05,282900,280700,278100,273200,269700,266600,271700,270500,269500,264600,261500,259900,258800,255900,253300,250600,259400,263700,265700,258200,258100,259600,262600,263400,2.63E+05,260200,265300,270400,286800,294100,301700,296900,299100,312900,320600,328700,322900,325500,321400,326200,336600,343300,3.44E+05,344300,343300,348900,3.52E+05,349500,348100,3.48E+05,354300,361500,362400,363100,368400,374800,381200,376700,374700,381300,383100,389400,387900,389400,3.88E+05,385700,387400,387900,392300,394900,402500,402600,410700,412500,421900,422500,426400,423600,425500,425900,430800,434200,436700,440200,443800,446500,448500,445700,444800,452400,463900,472600,471100,465600,463500
92683,Westminster,494600,461100,445400,440600,4.46E+05,447300,443300,432700,415900,409400,403200,418600,422400,411400,398100,385200,398800,412300,432900,428600,429300,4.30E+05,435200,4.32E+05,417700,415800,416400,414300,415100,403800,414400,412100,412100,404100,405800,408800,402100,405300,407700,411800,401100,394700,387900,379900,392300,397400,407500,392200,382700,374800,365600,370200,373300,382700,393100,394600,392400,398900,404300,435300,441100,464200,458600,474500,481700,491200,490300,469500,473900,467800,490100,5.07E+05,517500,525400,507500,506200,505200,503400,509900,510500,522800,532600,527700,526100,523500,530500,532700,533600,538800,544200,543600,5.47E+05,544600,549200,547500,553300,5.62E+05,565200,575900,568100,567800,5.60E+05,590300,599400,606200,585700,599800,596400,586900,560600,573800,590200,608400,613100,616600,6.10E+05,602900,605600,628700,641300,6.36E+05,635800,636400,657800
91910,Chula Vista,377200,350600,325300,320500,307200,296600,2.99E+05,292300,283600,271500,286300,277300,269300,249200,247700,244900,244200,248200,250500,275500,288200,298300,283300,281900,275800,276100,2.82E+05,297900,2.98E+05,2.78E+05,272700,283100,307800,318700,305400,296700,281500,2.75E+05,2.67E+05,2.82E+05,292500,292600,284600,280200,272100,275700,278200,281700,266900,269100,290500,299100,304100,293700,287400,2.95E+05,3.12E+05,327500,329200,3.21E+05,324800,3.15E+05,3.22E+05,326700,333400,333800,343800,365600,3.78E+05,376700,366300,359700,373800,386400,389500,372500,370800,379200,382900,382500,381400,390900,386500,3.97E+05,395100,404800,401300,416700,427400,426800,416700,403800,417300,417400,426300,406500,408100,418100,435700,445200,431700,431700,432800,434500,427800,429500,442900,453500,457200,4.47E+05,447800,447700,462500,472200,484100,493600,4.92E+05,500400,501100,528500,505100,489300,460100,482500
95608,Carmichael,299300,2.77E+05,275700,263300,265300,262500,264300,2.77E+05,272200,276500,258300,244700,223500,224400,234300,243100,231300,235900,243100,249500,245200,242300,252800,252400,2.47E+05,238500,240800,232100,229400,225700,236200,233200,231600,218800,213900,208600,1.98E+05,190800,190700,199900,200900,192100,205900,208600,212400,190700,185500,176900,191700,202800,213300,220400,215600,2.18E+05,207800,221400,237200,242900,245500,251300,270300,2.79E+05,277700,278100,285400,293100,283200,281500,277700,292900,300400,304500,299800,291100,298600,291600,291400,291200,298800,305700,296700,3.28E+05,331800,343300,320700,325900,319500,3.16E+05,302300,3.04E+05,314700,3.20E+05,3.26E+05,3.15E+05,318400,3.14E+05,319500,318900,319300,323700,3.37E+05,343700,344500,3.43E+05,358400,3.56E+05,348200,335500,336700,343300,352100,3.67E+05,369700,359800,360800,359100,368600,372200,384400,387300,377900,386300,384900,400300
90066,Culver City,742500,763100,739400,756100,713300,692300,665100,694500,660700,570100,549200,594500,696200,656800,624100,606900,619800,642700,635800,6.63E+05,650100,657300,665300,691400,684800,684800,681500,686200,710600,731400,745600,731200,682900,644300,598200,684700,707500,705200,652900,649600,708200,693300,666800,627300,652800,678100,692200,662100,679500,642100,631900,635500,684900,675700,667100,679400,707300,721700,730100,741100,7.41E+05,742600,767700,784600,812600,843200,850600,823200,805900,835600,812300,802300,8.06E+05,842300,8.58E+05,835800,830300,839700,830600,849500,844200,8.55E+05,867700,883700,906600,917900,950300,969600,1014900,1003100,1039100,1019500,962500,947900,955700,1054800,1.09E+06,1066500,1038900,987400,990800,9.88E+05,1029200,1068800,1085800,1025800,1015100,1012500,1019400,1049800,1035100,1113700,1.09E+06,1108300,1042100,1076400,1.11E+06,1217400,1245100,1295800,1289700,1283700,1287100,1285300
92677,Laguna Beach,685100,699600,687500,598600,567300,541500,537800,548800,548600,534900,499900,4.98E+05,5.37E+05,557200,545300,491500,5.02E+05,519600,535600,509700,500500,4.89E+05,527200,535500,548600,523200,496200,501900,513300,542200,529700,525100,506900,496600,531500,538200,557900,535200,5.09E+05,4.98E+05,511800,505800,500700,438700,443600,458500,515700,520300,517200,509800,501600,4.89E+05,4.87E+05,512800,513600,523500,550600,576700,564800,560600,559900,582600,5.94E+05,608600,625500,640800,645700,648500,590100,599500,629900,681600,692500,645600,665400,663100,659500,643700,651200,656200,672400,678200,706300,725800,692400,686200,654300,684500,689100,696500,697900,6.85E+05,714300,706400,727800,694300,696500,686600,697700,674900,683800,685400,705500,701400,679100,667400,607500,611200,637700,713500,724200,718200,696300,702800,689900,724600,726800,747700,713400,755700,786300,807800,782600,787400
92126,San Diego,371900,363600,360400,355700,332900,322800,331600,337900,337200,325200,326700,328700,323700,3.33E+05,329700,337300,329200,3.47E+05,3.52E+05,356900,356500,350700,346300,332800,3.25E+05,3.36E+05,344600,357100,352400,357800,373100,364800,353200,328100,3.36E+05,334100,343100,331700,319300,325400,327500,338100,332100,327300,329200,323300,318400,305700,311400,317300,324600,317400,319700,329900,3.46E+05,357700,365700,3.69E+05,374800,380600,378300,3.74E+05,383700,384700,388900,387400,404600,409700,410900,402100,403600,4.10E+05,418400,425700,425300,424500,433600,431400,430100,433200,435100,446600,445800,450500,412600,422900,423500,462900,453500,4.69E+05,472400,470500,462100,455100,457800,463400,481900,488600,487400,490800,496200,4.92E+05,462200,468200,4.82E+05,511900,5.14E+05,502300,496300,486300,500500,510100,510800,514700,512200,511200,520200,533500,539200,541800,548300,565400,5.66E+05,566700
