Month,San Francisco Median Price,Zip Codes Included
1996-04,258100,'94109
1996-05,260850,'94110
1996-06,262750,'94122
1996-07,265000,'94112
1996-08,267100,'94115
1996-09,267950,'94117
1996-10,268350,'94121
1996-11,269900,'94118
1996-12,271800,'94114
1997-01,273550,'94107
1997-02,287400,'94116
1997-03,290500,'94123
1997-04,293100,'94103
1997-05,295500,'94131
1997-06,297600,'94133
1997-07,300600,'94134
1997-08,308550,'94132
1997-09,313250,'94124
1997-10,317850,'94127
1997-11,322650,
1997-12,327800,
1998-01,334450,
1998-02,340850,
1998-03,343900,
1998-04,344150,
1998-05,345300,
1998-06,348250,
1998-07,351700,
1998-08,354700,
1998-09,357300,
1998-10,360800,
1998-11,363700,
1998-12,363600,
1999-01,364550,
1999-02,366450,
1999-03,369400,
1999-04,375300,
1999-05,385200,
1999-06,394150,
1999-07,400150,
1999-08,406450,
1999-09,415150,
1999-10,426100,
1999-11,438750,
1999-12,453350,
2000-01,469700,
2000-02,483950,
2000-03,497750,
2000-04,509200,
2000-05,519450,
2000-06,532700,
2000-07,545950,
2000-08,551700,
2000-09,553000,
2000-10,552200,
2000-11,552700,
2000-12,556250,
2001-01,560200,
2001-02,565150,
2001-03,573450,
2001-04,579200,
2001-05,579350,
2001-06,576400,
2001-07,574600,
2001-08,576850,
2001-09,582750,
2001-10,585300,
2001-11,590100,
2001-12,596300,
2002-01,597600,
2002-02,597150,
2002-03,594150,
2002-04,593450,
2002-05,600800,
2002-06,610900,
2002-07,618550,
2002-08,625650,
2002-09,626300,
2002-10,621050,
2002-11,616150,
2002-12,613950,
2003-01,611800,
2003-02,608650,
2003-03,606250,
2003-04,607200,
2003-05,610850,
2003-06,618500,
2003-07,628600,
2003-08,637150,
2003-09,640600,
2003-10,645350,
2003-11,650800,
2003-12,662200,
2004-01,673250,
2004-02,685050,
2004-03,697700,
2004-04,710600,
2004-05,717600,
2004-06,721550,
2004-07,724150,
2004-08,728750,
2004-09,736750,
2004-10,753050,
2004-11,772400,
2004-12,784400,
2005-01,795450,
2005-02,809350,
2005-03,826300,
2005-04,840900,
2005-05,847750,
2005-06,849500,
2005-07,853850,
2005-08,863050,
2005-09,870650,
2005-10,872850,
2005-11,872500,
2005-12,869900,
2006-01,871400,
2006-02,875100,
2006-03,875200,
2006-04,868800,
2006-05,865400,
2006-06,861950,
2006-07,856600,
2006-08,852150,
2006-09,851150,
2006-10,849450,
2006-11,840400,
2006-12,829550,
2007-01,825850,
2007-02,829550,
2007-03,836250,
2007-04,847850,
2007-05,864400,
2007-06,881350,
2007-07,894500,
2007-08,900100,
2007-09,901250,
2007-10,900450,
2007-11,900750,
2007-12,898950,
2008-01,894050,
2008-02,889450,
2008-03,882800,
2008-04,873500,
2008-05,863550,
2008-06,852700,
2008-07,839850,
2008-08,828750,
2008-09,819000,
2008-10,812300,
2008-11,810450,
2008-12,804550,
2009-01,790300,
2009-02,774850,
2009-03,764450,
2009-04,760300,
2009-05,755850,
2009-06,753050,
2009-07,753800,
2009-08,757000,
2009-09,758950,
2009-10,758600,
2009-11,758300,
2009-12,765100,
2010-01,776850,
2010-02,784650,
2010-03,781550,
2010-04,775800,
2010-05,768800,
2010-06,764650,
2010-07,758650,
2010-08,792300,
2010-09,793000,
2010-10,792200,
2010-11,787600,
2010-12,779500,
2011-01,773200,
2011-02,772100,
2011-03,772300,
2011-04,775300,
2011-05,779200,
2011-06,783800,
2011-07,788800,
2011-08,791400,
2011-09,790900,
2011-10,792300,
2011-11,794200,
2011-12,792300,
2012-01,788800,
2012-02,785700,
2012-03,778700,
2012-04,781900,
2012-05,791700,
2012-06,803100,
2012-07,819600,
2012-08,831300,
2012-09,835700,
2012-10,844100,
2012-11,859900,
2012-12,870100,
2013-01,875200,
2013-02,882900,
2013-03,896600,
2013-04,914800,
2013-05,934800,
2013-06,957400,
2013-07,976100,
2013-08,996300,
2013-09,1024800,
2013-10,1059900,
2013-11,1083000,
2013-12,1094500,
2014-01,1105600,
2014-02,1121800,
2014-03,1140000,
2014-04,1159300,
2014-05,1182000,
2014-06,1207500,
2014-07,1224000,
2014-08,1231700,
2014-09,1243100,
2014-10,1247400,
2014-11,1239000,
2014-12,1229900,
2015-01,1233800,
2015-02,1263700,
2015-03,1309300,
2015-04,1345200,
2015-05,1369500,
2015-06,1392500,
2015-07,1426800,
2015-08,1437400,
2015-09,1440700,
2015-10,1447500,
2015-11,1455200,
2015-12,1465200,
2016-01,1478200,
2016-02,1490800,
2016-03,1502900,
2016-04,1502500,
2016-05,1492300,
2016-06,1476100,
2016-07,1448100,
2016-08,1431800,
2016-09,1431000,
2016-10,1425700,
2016-11,1424100,
2016-12,1426500,
2017-01,1427800,
2017-02,1428500,
2017-03,1435800,
2017-04,1447500,
2017-05,1453300,
2017-06,1455300,
2017-07,1460600,
2017-08,1469400,
2017-09,1475500,
